sq_mt_built,n_rooms,n_bathrooms,latitude,longitude,address,buy_price,is_new_development,is_renewal_needed,has_lift,is_exterior,has_parking,floor,neighborhood_id,house_type_id,district_id
65.0,2,1,40.4304472,-3.6938366,Calle CARACAS,338000.0,0,0,1,0,0,0.0,73,0,7
200.0,3,4,40.4258321,-3.6813466,barrio Recoletos,2600000.0,0,0,0,1,0,4.0,112,0,4
75.0,3,1,40.423056,-3.6774938,"Calle de Lope de Rueda, 10",439900.0,0,0,1,0,0,6.0,108,0,4
278.0,6,3,40.4372765,-3.6900525,barrio Almagro,1395000.0,0,0,1,1,1,2.0,73,0,7
125.0,3,2,40.43717,-3.6990102,Calle de ponzano,620000.0,0,0,1,1,0,4.0,73,2,7
62.0,1,1,40.4374144,-3.6722866,"Calle Iriarte, 27",249000.0,0,0,0,1,0,0.0,109,0,4
128.0,3,2,40.4279556,-3.6849593,"Calle de Lagasca, 68",1050000.0,0,1,1,1,0,3.0,112,0,4
135.0,3,2,40.4278513,-3.6804411,Calle de Don Ramón de la Cruz,1090000.0,0,0,1,1,0,5.0,110,0,4
132.0,2,2,40.4267553,-3.6839762,Calle de Claudio Coello,1380000.0,0,0,1,1,0,1.0,112,0,4
210.0,3,4,40.4365526,-3.6925992,Calle de José Abascal,1599000.0,0,0,1,1,0,2.0,73,0,7
180.0,3,3,40.4313169,-3.6950588,Calle de Zurbano,1585000.0,0,0,1,1,1,5.0,73,0,7
210.0,3,3,40.4262417,-3.6865849,Calle de Serrano,1800000.0,0,0,1,0,0,3.0,112,0,4
335.0,3,3,40.4319391,-3.6903397,Calle de Alfonso X,2580000.0,0,0,1,1,1,5.0,73,2,7
444.0,5,4,40.4281576,-3.6795664,Calle de Castelló,2950000.0,0,1,1,1,1,4.0,111,0,4
335.0,3,3,40.4319391,-3.6920397,ALFONSO X,2580000.0,0,0,1,1,0,5.0,73,1,7
404.0,5,6,40.4285814,-3.682167,Calle de Ayala,3970000.0,0,0,1,1,0,2.0,112,0,4
391.0,5,4,40.4285216,-3.683895,Calle de Ayala,3970000.0,0,0,1,1,0,2.0,112,0,4
259.0,4,3,40.4295473,-3.6836844,barrio Recoletos,1650000.0,0,0,1,1,1,4.0,112,0,4
190.0,4,3,40.4366359,-3.6930641,barrio Almagro,1220000.0,0,1,1,1,1,2.0,73,0,7
255.0,4,3,40.4313701,-3.6840725,barrio Castellana,2450000.0,0,1,1,1,1,3.0,111,0,4
